Collecting time,Longitude,Latitude
2021-04-25T03:01:23Z,101.2884172,32.272874
2021-04-25T03:01:43Z,101.2886028,32.2729407
2021-04-25T03:02:03Z,101.2898775,32.2691125
2021-04-25T03:02:23Z,101.2902172,32.2696551
2021-04-25T03:02:43Z,101.2891168,32.2713431
2021-04-25T03:03:03Z,101.2870927,32.2722809
2021-04-25T03:03:23Z,101.2854991,32.2735879
2021-04-25T03:03:43Z,101.2851391,32.2751173
2021-04-25T03:04:03Z,101.2848809,32.2762888
2021-04-25T03:04:23Z,101.2848906,32.2762368
2021-04-25T03:04:43Z,101.2848865,32.2762439
2021-04-25T05:11:06Z,101.2791281,32.2926759
2021-04-25T05:20:21Z,101.2790244,32.2926599
2021-04-25T05:30:08Z,101.2790092,32.2926603
2021-04-25T05:40:07Z,101.2789983,32.2926554
2021-04-25T05:50:06Z,101.2789561,32.2926751
2021-04-25T06:00:10Z,101.2844261,32.3018092
2021-04-25T06:10:14Z,101.2838333,32.3023282
2021-04-25T06:20:07Z,101.2827384,32.3039808
2021-04-25T06:30:04Z,101.2825761,32.3040036
2021-04-25T06:40:04Z,101.2899588,32.3013098
2021-04-25T06:40:24Z,101.29199,32.3025713
2021-04-25T06:40:43Z,101.2930312,32.3019985
2021-04-25T06:41:07Z,101.2937396,32.3038517
2021-04-25T06:41:22Z,101.2942303,32.304957
2021-04-25T06:41:45Z,101.2951071,32.3050556
2021-04-25T06:42:05Z,101.2957407,32.3038824
2021-04-25T06:42:23Z,101.2960335,32.3033202
2021-04-25T06:42:45Z,101.2970025,32.3031775
2021-04-25T06:43:05Z,101.2966523,32.3028948
2021-04-25T06:43:24Z,101.296982,32.3025814
2021-04-25T06:43:44Z,101.2974705,32.3026421
2021-04-25T06:44:04Z,101.2971042,32.3048272
2021-04-25T06:44:25Z,101.2968335,32.3056262
2021-04-25T06:44:44Z,101.2978723,32.3057591
2021-04-25T06:45:02Z,101.2987415,32.3055092
2021-04-25T06:45:23Z,101.2975638,32.3066097
2021-04-25T06:45:42Z,101.2963267,32.3081686
2021-04-25T06:46:02Z,101.2949152,32.3093484
2021-04-25T06:46:23Z,101.2934022,32.3112032
2021-04-25T06:46:43Z,101.2920891,32.3137693
2021-04-25T06:47:03Z,101.2907254,32.316067
2021-04-25T06:47:23Z,101.288993,32.3181148
2021-04-25T06:47:44Z,101.287677,32.3203306
2021-04-25T06:48:04Z,101.2885327,32.3228967
2021-04-25T06:48:22Z,101.2865006,32.3240358
2021-04-25T06:48:43Z,101.2858514,32.32638
2021-04-25T06:49:03Z,101.2862607,32.3289979
2021-04-25T06:49:23Z,101.2854423,32.3304767
2021-04-25T06:49:43Z,101.285732,32.3331615
2021-04-25T06:50:04Z,101.2857432,32.3357431
2021-04-25T06:50:24Z,101.2857963,32.3379976
2021-04-25T06:50:42Z,101.285925,32.3402503
2021-04-25T06:51:03Z,101.2857957,32.3424298
2021-04-25T06:51:24Z,101.2858572,32.3438621
2021-04-25T06:51:45Z,101.2869807,32.3463215
2021-04-25T06:52:05Z,101.2877885,32.3489089
2021-04-25T06:52:24Z,101.2895553,32.3519204
2021-04-25T06:52:46Z,101.2921016,32.3552214
2021-04-25T06:53:05Z,101.2944115,32.3581339
2021-04-25T06:53:26Z,101.2963629,32.3614322
2021-04-25T06:53:42Z,101.2961139,32.3632556
2021-04-25T06:54:05Z,101.2958283,32.3664979
2021-04-25T06:54:22Z,101.2952745,32.368829
2021-04-25T06:54:43Z,101.2935116,32.3702415
2021-04-25T06:55:02Z,101.2922149,32.3719158
2021-04-25T06:55:22Z,101.2899083,32.37366
2021-04-25T06:55:42Z,101.2880106,32.3747124
2021-04-25T06:56:02Z,101.2863698,32.375812
2021-04-25T06:56:22Z,101.2850162,32.3775747
2021-04-25T06:56:44Z,101.2844674,32.3800432
2021-04-25T06:57:02Z,101.2835944,32.3814438
2021-04-25T06:57:22Z,101.2823885,32.3827248
2021-04-25T06:57:42Z,101.2818529,32.383625
2021-04-25T06:58:02Z,101.281665,32.384469
2021-04-25T06:58:23Z,101.2813729,32.3847949
2021-04-25T06:58:43Z,101.2817889,32.3845909
2021-04-25T06:59:02Z,101.2835618,32.3820601
2021-04-25T06:59:24Z,101.2845289,32.3803636
2021-04-25T06:59:42Z,101.2845202,32.3793689
2021-04-25T07:00:04Z,101.2826058,32.3786186
2021-04-25T07:00:24Z,101.279968,32.3774092
2021-04-25T07:00:45Z,101.2771933,32.3768322
2021-04-25T07:01:05Z,101.2743697,32.3769977
2021-04-25T07:01:24Z,101.2717465,32.3763882
2021-04-25T07:01:44Z,101.2689607,32.3756443
2021-04-25T07:02:04Z,101.2662903,32.3749538
2021-04-25T07:02:24Z,101.263264,32.373924
2021-04-25T07:02:44Z,101.2607574,32.3710892
2021-04-25T07:03:04Z,101.2583364,32.3677873
2021-04-25T07:03:24Z,101.256222,32.3644328
2021-04-25T07:03:44Z,101.2555271,32.3605726
2021-04-25T07:04:04Z,101.2548168,32.3572822
2021-04-25T07:04:24Z,101.2554112,32.3541677
2021-04-25T07:04:45Z,101.2575649,32.3507531
2021-04-25T07:05:04Z,101.259181,32.3477484
2021-04-25T07:05:28Z,101.2617248,32.3462303
2021-04-25T07:05:45Z,101.2611967,32.345757
2021-04-25T07:06:07Z,101.2612827,32.3464244
2021-04-25T07:06:40Z,101.2614491,32.3468497
2021-04-25T07:07:08Z,101.26147,32.3468867
2021-04-25T07:07:26Z,101.2614626,32.3469127
2021-04-25T07:10:10Z,101.2614685,32.346888
2021-04-25T07:20:08Z,101.2614393,32.3468864
2021-04-25T07:30:12Z,101.2614651,32.3469026
2021-04-25T07:40:31Z,101.2615283,32.3468728
2021-04-25T07:50:02Z,101.2615417,32.3468525
2021-04-25T08:00:02Z,101.2615102,32.3469046
2021-04-25T08:10:02Z,101.2616052,32.3468745
2021-04-25T08:20:02Z,101.2615642,32.3468811
2021-04-25T08:30:02Z,101.2615445,32.3468772
2021-04-25T08:40:03Z,101.2615605,32.3468786
2021-04-25T08:50:02Z,101.2615188,32.3468657
2021-04-25T09:00:04Z,101.2615703,32.346898
2021-04-25T09:10:03Z,101.2615676,32.3468368
2021-04-25T09:20:30Z,101.2615791,32.3468746
2021-04-25T09:30:02Z,101.2615828,32.3468789
2021-04-25T09:40:02Z,101.2615798,32.3468717
2021-04-25T09:50:02Z,101.2615781,32.3468772
2021-04-25T10:00:32Z,101.261596,32.3468863
2021-04-25T10:10:02Z,101.2615061,32.3468721
2021-04-25T10:20:03Z,101.2487813,32.3350067
2021-04-25T10:20:23Z,101.2495271,32.3348496
2021-04-25T10:20:42Z,101.2506308,32.3344433
2021-04-25T10:21:02Z,101.2516848,32.3340499
2021-04-25T10:21:22Z,101.2524027,32.3338931
2021-04-25T10:21:42Z,101.2537287,32.3338411
